case_id,target_route,modality,primary_failure_stage,secondary_failure_tags,qwen_validation_error,dispatch_error
ready_measure_beam_profile_v12_000,measure_beam_profile_v12,image,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['setup_context'] is expected to be empty,
ready_measure_beam_profile_v12_001,measure_beam_profile_v12,image,wrong status,[],,
ready_measure_beam_profile_v12_002,measure_beam_profile_v12,image,Qwen invalid JSON/schema,[],ContractError: schema violation at route_name: 'measure_beam_profile_v12' is not of type 'null',
ready_measure_beam_profile_v12_003,measure_beam_profile_v12,image,Qwen invalid JSON/schema,[],"ContractError: schema violation at missing_fields: ['setup_context', 'target_beam_state'] is expected to be empty",
ready_measure_beam_profile_v12_004,measure_beam_profile_v12,image,Qwen invalid JSON/schema,[],"ContractError: schema violation at missing_fields: ['setup_context', 'current_beam_state', 'target_beam_state'] is expected to be empty",
ready_measure_beam_profile_v12_005,measure_beam_profile_v12,image,wrong status,[],,
ready_measure_beam_profile_v12_006,measure_beam_profile_v12,image,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['setup_context'] is expected to be empty,
ready_measure_beam_profile_v12_007,measure_beam_profile_v12,image,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['arguments.image_roles'] is expected to be empty,
ready_measure_beam_profile_v12_008,measure_beam_profile_v12,image,Qwen invalid JSON/schema,[],"ContractError: schema violation at missing_fields: ['setup_context', 'target_beam_state'] is expected to be empty",
ready_measure_beam_profile_v12_009,measure_beam_profile_v12,image,Qwen invalid JSON/schema,[],ContractError: schema violation at task_type: 'measurement' is not of type 'null',
ready_predict_direction_from_state_v12_000,predict_direction_from_state_v12,state,wrong task/route,[],,
ready_predict_direction_from_state_v12_002,predict_direction_from_state_v12,state,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['missing_fields'] is expected to be empty,
ready_predict_direction_from_state_v12_003,predict_direction_from_state_v12,state,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['setup_context.image_calibration'] is expected to be empty,
ready_predict_direction_from_state_v12_004,predict_direction_from_state_v12,state,wrong task/route,[],,
ready_predict_direction_from_state_v12_006,predict_direction_from_state_v12,state,unit/sign/order error,[],,
ready_predict_direction_from_state_v12_007,predict_direction_from_state_v12,state,unit/sign/order error,[],,
ready_predict_direction_from_state_v12_008,predict_direction_from_state_v12,state,wrong task/route,[],,
ready_predict_direction_from_image_v12_000,predict_direction_from_image_v12,image,Qwen invalid JSON/schema,[],ContractError: schema violation at missing_fields: ['missing_fields'] is expected to be empty,
