sampling_method,case,changed_position_field,position_delta_mm,delta_stored_centroid_x_px,delta_stored_centroid_y_px,delta_stored_sigma_x_px,delta_stored_sigma_y_px,delta_stored_peak_intensity,delta_sensor_frame_centroid_x_px,delta_sensor_frame_centroid_y_px,delta_sensor_frame_sigma_x_px,delta_sensor_frame_sigma_y_px,delta_sensor_frame_peak_intensity,delta_image_derived_centroid_x_px,delta_image_derived_centroid_y_px,delta_image_derived_sigma_x_px,delta_image_derived_sigma_y_px,delta_image_derived_peak_intensity
production_searchsorted,no_op,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
production_searchsorted,camera_x_plus_0p02_mm,camera_x_mm,0.02,-0.5763031757454087,0.0,-0.08447904735969303,-1.4210854715202004e-14,0.0,-4.212666812109035,0.0,-0.08447904735969303,-1.4210854715202004e-14,0.0,-4.208552879675267,0.0,-0.08439654829000176,-1.4210854715202004e-14,0.0
production_searchsorted,camera_y_plus_0p02_mm,camera_y_mm,0.02,0.0,-0.42422296521942826,1.4210854715202004e-14,-0.05066910278669923,0.0,0.0,-4.060586601583054,1.4210854715202004e-14,-0.05066910278669923,0.0,0.0,-4.056621184979974,0.0,-0.050619621241025925,0.0
production_searchsorted,lens_x_plus_0p02_mm,lens_x_mm,0.02,3.8372879507768403,0.0,1.0400709535009725,-1.4210854715202004e-14,0.33616311303695934,3.8372879507768403,0.0,1.0400709535009725,-1.4210854715202004e-14,0.33616311303695934,3.8335405992624487,0.0,1.0390552592104427,0.0,0.33616311303695934
production_searchsorted,lens_y_plus_0p02_mm,lens_y_mm,0.02,0.0,1.4137503935849054,-2.842170943040401e-14,0.6819915294320253,-1.526065242838511,0.0,1.4137503935849622,-2.842170943040401e-14,0.6819915294320253,-1.526065242838511,0.0,1.4123697779661484,-2.842170943040401e-14,0.6813255220790637,-1.526065242838511
bilinear_intensity,no_op,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bilinear_intensity,camera_x_plus_0p02_mm,camera_x_mm,0.02,0.009800935053419835,0.0,-0.001086397983385723,0.0,-0.0589998771439566,-3.626562701310263,0.0,-0.001086397983385723,0.0,-0.0589998771439566,-3.6230211361722127,0.0,-0.0010853370478685065,0.0,-0.0589998771439566
bilinear_intensity,camera_y_plus_0p02_mm,camera_y_mm,0.02,0.0,0.01274026981127463,0.0,-0.0027983615460556166,0.08020273569296243,0.0,-3.6236233665523514,0.0,-0.0027983615460556166,0.08020273569296243,0.0,-3.6200846718584216,0.0,-0.0027956287710821925,0.08020273569296243
bilinear_intensity,lens_x_plus_0p02_mm,lens_x_mm,0.02,3.684501213298745,0.0,1.0569526781699494,-2.842170943040401e-14,0.2716806487758259,3.684501213298688,1.1368683772161603e-13,1.0569526781699494,-2.842170943040401e-14,0.2716806487758259,3.6809030675826193,0.0,1.055920497820182,0.0,0.2716806487758259
bilinear_intensity,lens_y_plus_0p02_mm,lens_y_mm,0.02,0.0,1.2004406499605125,0.0,0.7212843566215099,-1.4126257840238656,0.0,1.2004406499605693,0.0,0.7212843566215099,-1.4126257840238656,0.0,1.1992683446383126,1.4210854715202004e-14,0.7205799773670236,-1.4126257840238656
