sampling_method,case,changed_position_field,position_delta_mm,delta_stored_centroid_x_px,delta_stored_centroid_y_px,delta_stored_sigma_x_px,delta_stored_sigma_y_px,delta_stored_peak_intensity,delta_sensor_frame_centroid_x_px,delta_sensor_frame_centroid_y_px,delta_sensor_frame_sigma_x_px,delta_sensor_frame_sigma_y_px,delta_sensor_frame_peak_intensity,delta_image_derived_centroid_x_px,delta_image_derived_centroid_y_px,delta_image_derived_sigma_x_px,delta_image_derived_sigma_y_px,delta_image_derived_peak_intensity
production_searchsorted,no_op,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
production_searchsorted,camera_x_plus_0p02_mm,camera_x_mm,0.02,4.107721556377655,0.0,-0.2922800342094618,0.0,0.0,0.47135792001400745,0.0,-0.2922800342094618,0.0,0.0,0.46767543626389596,7.105427357601002e-15,-0.2899965964422009,0.0,0.0
production_searchsorted,camera_y_plus_0p02_mm,camera_y_mm,0.02,1.4210854715202004e-14,2.0761087620684577,0.0,-0.5825823933845484,0.0,0.0,-1.5602548742951825,0.0,-0.5825823933845484,0.0,0.0,-1.5480653830897495,0.0,-0.5780309684362379,0.0
production_searchsorted,lens_x_plus_0p02_mm,lens_x_mm,0.02,-1.036304865706967,-1.4210854715202004e-14,-2.0888947406108542,2.1316282072803006e-14,-0.14763536753296191,-1.036304865706974,-1.4210854715202004e-14,-2.0888947406108542,2.1316282072803006e-14,-0.14763536753296191,-1.028208733943643,-1.4210854715202004e-14,-2.0725752504498374,1.4210854715202004e-14,-0.14763536753296191
production_searchsorted,lens_y_plus_0p02_mm,lens_y_mm,0.02,-3.268496584496461e-13,-2.472173722296496,-1.5631940186722204e-13,1.8379264862032514,-0.043203056635220616,-3.268496584496461e-13,-2.472173722296496,-1.5631940186722204e-13,1.8379264862032514,-0.043203056635220616,-3.268496584496461e-13,-2.4528598650910496,-1.5631940186722204e-13,1.8235676855297882,-0.043203056635220616
bilinear_intensity,no_op,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bilinear_intensity,camera_x_plus_0p02_mm,camera_x_mm,0.02,3.42715041086808,-7.105427357601002e-15,0.08380516660231052,-7.105427357601002e-15,0.000809956275551249,-0.20921322549554588,0.0,0.08380516660231052,-7.105427357601002e-15,0.000809956275551249,-0.20757874717136815,0.0,0.08315043873822958,0.0,0.000809956275551249
bilinear_intensity,camera_y_plus_0p02_mm,camera_y_mm,0.02,0.0,3.2114604339905455,0.0,-0.06264145512668762,-0.0009723033375645951,0.0,-0.42490320237308765,0.0,-0.06264145512668762,-0.0009723033375645951,0.0,-0.421583646104537,0.0,-0.062152068758514645,-0.0009723033375645951
bilinear_intensity,lens_x_plus_0p02_mm,lens_x_mm,0.02,3.9654868669403527,-1.4210854715202004e-14,-0.06985541552999308,0.0,-0.14585827231435067,3.9654868669403527,-1.4210854715202004e-14,-0.06985541552999308,0.0,-0.14585827231435067,3.9345065007923807,-1.4210854715202004e-14,-0.06930967009616751,7.105427357601002e-15,-0.14585827231435067
bilinear_intensity,lens_y_plus_0p02_mm,lens_y_mm,0.02,-4.263256414560601e-14,-3.973260471179593,-2.842170943040401e-14,-0.20393748264595501,-0.04311669410710306,-4.263256414560601e-14,-3.973260471179586,-2.842170943040401e-14,-0.20393748264595501,-0.04311669410710306,-4.263256414560601e-14,-3.942219373748493,-2.842170943040401e-14,-0.2023442210627806,-0.04311669410710306
