sampling_method,case,quantity,stored_legacy_value,stored_transformed_sensor_value,image_derived_value,sensor_minus_image,physical_discrepancy_m_or_intensity,tolerance,absolute_discrepancy_in_tolerance_units
production_searchsorted,no_op,centroid_x_px,68.98129179411853,56.254019066845814,56.31062829288608,-0.056609226040265526,-3.113507432214604e-07,1.0,0.056609226040265526
production_searchsorted,no_op,centroid_y_px,53.69433073545143,60.967058008178704,60.9868466174898,-0.019788609311099492,-1.088373512110472e-07,1.0,0.019788609311099492
production_searchsorted,no_op,sigma_x_px,36.39027846698641,36.39027846698641,36.10597941646308,0.28429905052333027,1.5636447778783165e-06,2.0,0.14214952526166513
production_searchsorted,no_op,sigma_y_px,33.907551400159385,33.907551400159385,33.64264865484564,0.2649027453137478,1.4569650992256128e-06,2.0,0.1324513726568739
production_searchsorted,no_op,peak_intensity,1.0702897241706675,1.0702897241706675,1.0702897241706675,0.0,0.0,0.05351448620853338,0.0
bilinear_intensity,no_op,centroid_x_px,69.71303940980016,56.98576668252743,57.03665913032018,-0.050892447792755036,-2.799084628601527e-07,1.0,0.050892447792755036
bilinear_intensity,no_op,centroid_y_px,59.76307552901575,67.03580280174302,67.0081793423544,0.02762345938862154,1.5192902663741847e-07,1.0,0.02762345938862154
bilinear_intensity,no_op,sigma_x_px,36.660200161281224,36.660200161281224,36.37379234752122,0.28640781376000746,1.575242975680041e-06,2.0,0.14320390688000373
bilinear_intensity,no_op,sigma_y_px,36.60691643969123,36.60691643969123,36.320924905006144,0.2859915346850883,1.5729534407679856e-06,2.0,0.14299576734254416
bilinear_intensity,no_op,peak_intensity,1.0671395036637716,1.0671395036637716,1.0671395036637716,0.0,0.0,0.05335697518318858,0.0
production_searchsorted,camera_x_plus_0p02_mm,centroid_x_px,73.08901335049619,56.72537698685982,56.778303729149975,-0.05292674229015404,-2.910970825958472e-07,1.0,0.05292674229015404
production_searchsorted,camera_x_plus_0p02_mm,centroid_y_px,53.69433073545143,60.967058008178704,60.98684661748981,-0.019788609311106597,-1.0883735121108629e-07,1.0,0.019788609311106597
production_searchsorted,camera_x_plus_0p02_mm,sigma_x_px,36.09799843277695,36.09799843277695,35.81598282002088,0.28201561275606934,1.5510858701583815e-06,2.0,0.14100780637803467
production_searchsorted,camera_x_plus_0p02_mm,sigma_y_px,33.907551400159385,33.907551400159385,33.64264865484564,0.2649027453137478,1.4569650992256128e-06,2.0,0.1324513726568739
production_searchsorted,camera_x_plus_0p02_mm,peak_intensity,1.0702897241706675,1.0702897241706675,1.0702897241706675,0.0,0.0,0.05351448620853338,0.0
bilinear_intensity,camera_x_plus_0p02_mm,centroid_x_px,73.14018982066824,56.77655345703188,56.82908038314881,-0.05252692611693277,-2.888980936431302e-07,1.0,0.05252692611693277
bilinear_intensity,camera_x_plus_0p02_mm,centroid_y_px,59.763075529015744,67.03580280174302,67.0081793423544,0.02762345938862154,1.5192902663741847e-07,1.0,0.02762345938862154
bilinear_intensity,camera_x_plus_0p02_mm,sigma_x_px,36.744005327883535,36.744005327883535,36.45694278625945,0.2870625416240884,1.5788439789324862e-06,2.0,0.1435312708120442
bilinear_intensity,camera_x_plus_0p02_mm,sigma_y_px,36.606916439691226,36.606916439691226,36.320924905006144,0.2859915346850812,1.5729534407679466e-06,2.0,0.1429957673425406
bilinear_intensity,camera_x_plus_0p02_mm,peak_intensity,1.0679494599393229,1.0679494599393229,1.0679494599393229,0.0,0.0,0.05339747299696615,0.0
production_searchsorted,camera_y_plus_0p02_mm,centroid_x_px,68.98129179411855,56.254019066845814,56.31062829288608,-0.056609226040265526,-3.113507432214604e-07,1.0,0.056609226040265526
production_searchsorted,camera_y_plus_0p02_mm,centroid_y_px,55.77043949751989,59.40680313388352,59.438781234400054,-0.03197810051653249,-1.758795528409287e-07,1.0,0.03197810051653249
production_searchsorted,camera_y_plus_0p02_mm,sigma_x_px,36.39027846698641,36.39027846698641,36.10597941646308,0.28429905052333027,1.5636447778783165e-06,2.0,0.14214952526166513
production_searchsorted,camera_y_plus_0p02_mm,sigma_y_px,33.324969006774836,33.324969006774836,33.0646176864094,0.2603513203654373,1.4319322620099051e-06,2.0,0.13017566018271864
production_searchsorted,camera_y_plus_0p02_mm,peak_intensity,1.0702897241706675,1.0702897241706675,1.0702897241706675,0.0,0.0,0.05351448620853338,0.0
