sweep_id,sampling_method,points,step_mm,simulation_grid_pitch_mm,declared_sensor_pitch_mm,exact_image_plateau_transitions,longest_exact_image_plateau_points,exact_metric_plateau_transitions,index_boundary_transitions,selected_center_index_change_transitions,longest_selected_center_index_plateau_points,largest_raw_image_relative_l1_change,largest_normalized_image_mean_abs_change,largest_max_tolerance_normalized_delta,largest_jump_centroid_x_px,largest_tolerance_normalized_jump_centroid_x_px,largest_abs_derivative_centroid_x_px_per_mm,constant_transition_count_centroid_x_px,longest_constant_plateau_points_centroid_x_px,derivative_sign_changes_centroid_x_px,derivative_spikes_centroid_x_px,largest_jump_centroid_y_px,largest_tolerance_normalized_jump_centroid_y_px,largest_abs_derivative_centroid_y_px_per_mm,constant_transition_count_centroid_y_px,longest_constant_plateau_points_centroid_y_px,derivative_sign_changes_centroid_y_px,derivative_spikes_centroid_y_px,largest_jump_sigma_x_px,largest_tolerance_normalized_jump_sigma_x_px,largest_abs_derivative_sigma_x_px_per_mm,constant_transition_count_sigma_x_px,longest_constant_plateau_points_sigma_x_px,derivative_sign_changes_sigma_x_px,derivative_spikes_sigma_x_px,largest_jump_sigma_y_px,largest_tolerance_normalized_jump_sigma_y_px,largest_abs_derivative_sigma_y_px_per_mm,constant_transition_count_sigma_y_px,longest_constant_plateau_points_sigma_y_px,derivative_sign_changes_sigma_y_px,derivative_spikes_sigma_y_px,largest_jump_peak_intensity,largest_tolerance_normalized_jump_peak_intensity,largest_abs_derivative_peak_intensity_per_mm,constant_transition_count_peak_intensity,longest_constant_plateau_points_peak_intensity,derivative_sign_changes_peak_intensity,derivative_spikes_peak_intensity
main_camera_x_mm,production_searchsorted,121,0.0015,0.058651026392960576,0.0055,0,1,0,120,3,39,0.016654746906546856,0.00012343442572856605,0.6364226321453543,0.6364226321453543,0.6364226321453543,424.28175476356955,0,1,64,0,0.0,0.0,0.0,120,121,0,0,0.5372447617757246,0.2686223808878623,358.1631745171497,0,1,87,0,4.263256414560601e-14,2.1316282072803006e-14,2.8421709430404007e-11,77,14,34,0,0.0,0.0,0.0,120,121,0,0
main_camera_x_mm,bilinear_intensity,121,0.0015,0.058651026392960576,0.0055,0,1,0,120,3,39,0.011165890202466595,9.286883776745691e-05,0.13461626371078342,0.011395448441078315,0.011395448441078315,7.5969656273855435,0,1,65,0,5.684341886080802e-14,5.684341886080802e-14,3.789561257387201e-11,79,13,40,0,0.0035688757639462665,0.0017844378819731332,2.379250509297511,0,1,90,0,4.263256414560601e-14,2.1316282072803006e-14,2.8421709430404007e-11,87,24,29,0,0.043779164157471406,0.13461626371078342,29.18610943831427,0,1,65,0
main_camera_y_mm,production_searchsorted,121,0.0015,0.058651026392960576,0.0055,0,1,0,120,3,39,0.01695425311893927,0.00012525947247416202,0.8377366456880395,0.0,0.0,0.0,120,121,0,0,0.8377366456880395,0.8377366456880395,558.4910971253597,0,1,87,0,2.842170943040401e-14,1.4210854715202004e-14,1.8947806286936004e-11,98,22,17,0,0.427203368408243,0.2136016842041215,284.80224560549533,0,1,94,0,0.0,0.0,0.0,120,121,0,0
main_camera_y_mm,bilinear_intensity,121,0.0015,0.058651026392960576,0.0055,0,1,0,120,3,39,0.01336305418034834,0.00011021871300512961,0.20689110973874844,0.0,0.0,0.0,120,121,0,0,0.01054075351339634,0.01054075351339634,7.027169008930893,0,1,65,0,4.263256414560601e-14,2.1316282072803006e-14,2.8421709430404007e-11,76,12,41,0,0.0018312672076064018,0.0009156336038032009,1.2208448050709346,0,1,86,0,0.06788487183810776,0.20689110973874844,45.25658122540518,0,1,65,0
main_lens_x_mm,production_searchsorted,121,0.0015,0.058651026392960576,0.0055,0,1,0,0,0,121,0.024673851218431058,0.000273514807121203,0.5404908629361154,0.42097668970791347,0.42097668970791347,280.6511264719423,0,1,6,0,0.0,0.0,0.0,120,121,0,0,0.21160321136019888,0.10580160568009944,141.06880757346593,0,1,6,0,4.263256414560601e-14,2.1316282072803006e-14,2.8421709430404007e-11,73,10,37,0,0.16211890898082526,0.5404908629361154,108.0792726538835,0,1,6,0
main_lens_x_mm,bilinear_intensity,121,0.0015,0.058651026392960576,0.0055,0,1,0,0,0,121,0.01979738725023495,0.00026167861148140706,0.5346459809333785,0.40211716643079853,0.40211716643079853,268.0781109538657,0,1,6,0,5.684341886080802e-14,5.684341886080802e-14,3.789561257387201e-11,86,13,33,0,0.21495028254382476,0.10747514127191238,143.30018836254985,0,1,6,0,2.842170943040401e-14,1.4210854715202004e-14,1.8947806286936004e-11,70,11,41,0,0.15776189096629523,0.5346459809333785,105.17459397753015,0,1,6,0
main_lens_y_mm,production_searchsorted,121,0.0015,0.058651026392960576,0.0055,0,1,0,0,0,121,0.0248381355895582,0.00030656629866578197,0.5262686919634385,0.0,0.0,0.0,120,121,0,0,0.42024687931126437,0.42024687931126437,280.16458620750956,0,1,6,0,4.263256414560601e-14,2.1316282072803006e-14,2.8421709430404007e-11,76,19,31,0,0.21435929761594252,0.10717964880797126,142.90619841062835,0,1,6,0,0.14443099413063454,0.5262686919634385,96.28732942042302,0,1,6,0
main_lens_y_mm,bilinear_intensity,121,0.0015,0.058651026392960576,0.0055,0,1,0,0,0,121,0.019849730147066324,0.0002787105128824705,0.4871470821763572,5.684341886080802e-14,5.684341886080802e-14,3.789561257387201e-11,86,19,33,0,0.4080399008745985,0.4080399008745985,272.02660058306566,0,1,6,0,4.263256414560601e-14,2.1316282072803006e-14,2.8421709430404007e-11,74,8,42,0,0.21444125998057473,0.10722062999028736,142.9608399870498,0,1,6,0,0.13607928598042918,0.4871470821763572,90.71952398695278,0,1,6,0
sensor_clipping_boundary_camera_x_mm,production_searchsorted,81,0.003750000000000142,0.058651026392960576,0.0055,0,1,0,80,5,16,0.03470617643701981,0.00015438643509185055,1.6948123185501345,1.6948123185501345,1.6948123185501345,451.9499516133521,0,1,6,0,0.0,0.0,0.0,80,81,0,0,0.7068536009803097,0.35342680049015485,188.49429359474212,0,1,50,0,2.842170943040401e-14,1.4210854715202004e-14,7.579122514774115e-12,46,12,28,0,0.0,0.0,0.0,80,81,0,0
sensor_clipping_boundary_camera_x_mm,bilinear_intensity,81,0.003750000000000142,0.058651026392960576,0.0055,0,1,0,80,5,16,0.029470919031138937,0.0001488518506201542,0.8103122833646239,0.8103122833646239,0.8103122833646239,216.08327556389153,0,1,0,0,5.684341886080802e-14,5.684341886080802e-14,1.515824502954823e-11,42,6,37,0,0.2131759659936847,0.10658798299684236,56.84692426498044,0,1,7,0,4.263256414560601e-14,2.1316282072803006e-14,1.1368683772161172e-11,56,12,21,0,0.05123260608384861,0.15632234891760724,13.662028289025779,0,1,50,0
