sampling_method,case,quantity,stored_legacy_value,stored_transformed_sensor_value,image_derived_value,sensor_minus_image,physical_discrepancy_m_or_intensity,tolerance,absolute_discrepancy_in_tolerance_units
production_searchsorted,no_op,centroid_x_px,505.5998424215558,492.8725696942831,492.8907605441909,-0.018190849907853135,-1.0004967449319223e-07,1.0,0.018190849907853135
production_searchsorted,no_op,centroid_y_px,504.3139154721346,511.5866427448619,511.5865581328064,8.461205550247541e-05,4.6536630526361476e-10,1.0,8.461205550247541e-05
production_searchsorted,no_op,sigma_x_px,121.41027163922294,121.41027163922294,121.29170692082526,0.11856471839767835,6.521059511872309e-07,2.0,0.059282359198839174
production_searchsorted,no_op,sigma_y_px,120.89739679757508,120.89739679757508,120.77933293351495,0.11806386406013303,6.493512523307316e-07,2.0,0.059031932030066514
production_searchsorted,no_op,peak_intensity,6.690509729299775,6.690509729299775,6.690509729299775,0.0,0.0,0.33452548646498875,0.0
bilinear_intensity,no_op,centroid_x_px,510.640686628091,497.9134139008183,497.9266820513057,-0.013268150487419916,-7.297482768080953e-08,1.0,0.013268150487419916
bilinear_intensity,no_op,centroid_y_px,509.52144935741416,516.7941766301414,516.789006535776,0.005170094365325895,2.843551900929242e-08,1.0,0.005170094365325895
bilinear_intensity,no_op,sigma_x_px,121.42857339886795,121.42857339886795,121.30999080765811,0.11858259120984371,6.522042516541404e-07,2.0,0.059291295604921856
bilinear_intensity,no_op,sigma_y_px,120.92547706671196,120.92547706671196,120.80738578051397,0.1180912861979948,6.495020740889714e-07,2.0,0.0590456430989974
bilinear_intensity,no_op,peak_intensity,6.564859507554248,6.564859507554248,6.564859507554248,0.0,0.0,0.3282429753777124,0.0
production_searchsorted,camera_x_plus_0p02_mm,centroid_x_px,505.0235392458104,488.65990288217404,488.68220766451566,-0.02230478234162092,-1.2267630287891507e-07,1.0,0.02230478234162092
production_searchsorted,camera_x_plus_0p02_mm,centroid_y_px,504.3139154721346,511.5866427448619,511.5865581328064,8.461205550247541e-05,4.6536630526361476e-10,1.0,8.461205550247541e-05
production_searchsorted,camera_x_plus_0p02_mm,sigma_x_px,121.32579259186325,121.32579259186325,121.20731037253526,0.11848221932798708,6.51652206303929e-07,2.0,0.05924110966399354
production_searchsorted,camera_x_plus_0p02_mm,sigma_y_px,120.89739679757507,120.89739679757507,120.77933293351494,0.11806386406013303,6.493512523307316e-07,2.0,0.059031932030066514
production_searchsorted,camera_x_plus_0p02_mm,peak_intensity,6.690509729299775,6.690509729299775,6.690509729299775,0.0,0.0,0.33452548646498875,0.0
bilinear_intensity,camera_x_plus_0p02_mm,centroid_x_px,510.6504875631444,494.286851199508,494.3036609151335,-0.01680971562547029,-9.245343594008659e-08,1.0,0.01680971562547029
bilinear_intensity,camera_x_plus_0p02_mm,centroid_y_px,509.52144935741416,516.7941766301414,516.789006535776,0.005170094365325895,2.843551900929242e-08,1.0,0.005170094365325895
bilinear_intensity,camera_x_plus_0p02_mm,sigma_x_px,121.42748700088457,121.42748700088457,121.30890547061024,0.1185815302743265,6.521984165087957e-07,2.0,0.05929076513716325
bilinear_intensity,camera_x_plus_0p02_mm,sigma_y_px,120.92547706671196,120.92547706671196,120.80738578051397,0.1180912861979948,6.495020740889714e-07,2.0,0.0590456430989974
bilinear_intensity,camera_x_plus_0p02_mm,peak_intensity,6.505859630410291,6.505859630410291,6.505859630410291,0.0,0.0,0.32529298152051456,0.0
production_searchsorted,camera_y_plus_0p02_mm,centroid_x_px,505.5998424215558,492.8725696942831,492.8907605441909,-0.018190849907853135,-1.0004967449319223e-07,1.0,0.018190849907853135
production_searchsorted,camera_y_plus_0p02_mm,centroid_y_px,503.8896925069152,507.5260561432788,507.5299369478264,-0.0038808045475775543,-2.134442501167655e-08,1.0,0.0038808045475775543
production_searchsorted,camera_y_plus_0p02_mm,sigma_x_px,121.41027163922296,121.41027163922296,121.29170692082526,0.11856471839769256,6.52105951187309e-07,2.0,0.05928235919884628
production_searchsorted,camera_y_plus_0p02_mm,sigma_y_px,120.84672769478838,120.84672769478838,120.72871331227392,0.11801438251445973,6.490791038295284e-07,2.0,0.05900719125722986
production_searchsorted,camera_y_plus_0p02_mm,peak_intensity,6.690509729299775,6.690509729299775,6.690509729299775,0.0,0.0,0.33452548646498875,0.0
bilinear_intensity,camera_y_plus_0p02_mm,centroid_x_px,510.640686628091,497.9134139008183,497.9266820513057,-0.013268150487419916,-7.297482768080953e-08,1.0,0.013268150487419916
bilinear_intensity,camera_y_plus_0p02_mm,centroid_y_px,509.53418962722543,513.170553263589,513.1689218639176,0.0016313996713961387,8.972698192678763e-09,1.0,0.0016313996713961387
bilinear_intensity,camera_y_plus_0p02_mm,sigma_x_px,121.42857339886795,121.42857339886795,121.30999080765811,0.11858259120984371,6.522042516541404e-07,2.0,0.059291295604921856
bilinear_intensity,camera_y_plus_0p02_mm,sigma_y_px,120.92267870516591,120.92267870516591,120.80459015174289,0.11808855342302138,6.494870438266175e-07,2.0,0.05904427671151069
bilinear_intensity,camera_y_plus_0p02_mm,peak_intensity,6.64506224324721,6.64506224324721,6.64506224324721,0.0,0.0,0.33225311216236053,0.0
production_searchsorted,lens_x_plus_0p02_mm,centroid_x_px,509.43713037233266,496.7098576450599,496.7243011434534,-0.014443498393461596,-7.943924116403877e-08,1.0,0.014443498393461596
production_searchsorted,lens_x_plus_0p02_mm,centroid_y_px,504.3139154721346,511.5866427448619,511.5865581328064,8.461205550247541e-05,4.6536630526361476e-10,1.0,8.461205550247541e-05
production_searchsorted,lens_x_plus_0p02_mm,sigma_x_px,122.45034259272391,122.45034259272391,122.3307621800357,0.11958041268820807,6.576922697851444e-07,2.0,0.059790206344104035
production_searchsorted,lens_x_plus_0p02_mm,sigma_y_px,120.89739679757507,120.89739679757507,120.77933293351495,0.11806386406011882,6.493512523306535e-07,2.0,0.05903193203005941
production_searchsorted,lens_x_plus_0p02_mm,peak_intensity,7.026672842336734,7.026672842336734,7.026672842336734,0.0,0.0,0.3513336421168367,0.0
bilinear_intensity,lens_x_plus_0p02_mm,centroid_x_px,514.3251878413897,501.597915114117,501.6075851188883,-0.00967000477135116,-5.3185026242431376e-08,1.0,0.00967000477135116
bilinear_intensity,lens_x_plus_0p02_mm,centroid_y_px,509.52144935741416,516.7941766301415,516.789006535776,0.0051700943654395815,2.8435519009917697e-08,1.0,0.0051700943654395815
bilinear_intensity,lens_x_plus_0p02_mm,sigma_x_px,122.4855260770379,122.4855260770379,122.36591130547829,0.1196147715596112,6.578812435778616e-07,2.0,0.0598073857798056
bilinear_intensity,lens_x_plus_0p02_mm,sigma_y_px,120.92547706671193,120.92547706671193,120.80738578051397,0.11809128619796638,6.495020740888151e-07,2.0,0.05904564309898319
bilinear_intensity,lens_x_plus_0p02_mm,peak_intensity,6.836540156330074,6.836540156330074,6.836540156330074,0.0,0.0,0.3418270078165037,0.0
production_searchsorted,lens_y_plus_0p02_mm,centroid_x_px,505.5998424215558,492.8725696942831,492.8907605441909,-0.018190849907853135,-1.0004967449319223e-07,1.0,0.018190849907853135
production_searchsorted,lens_y_plus_0p02_mm,centroid_y_px,505.72766586571953,513.0003931384468,512.9989279107725,0.0014652276743163384,8.058752208739861e-09,1.0,0.0014652276743163384
production_searchsorted,lens_y_plus_0p02_mm,sigma_x_px,121.41027163922291,121.41027163922291,121.29170692082523,0.11856471839767835,6.521059511872309e-07,2.0,0.059282359198839174
production_searchsorted,lens_y_plus_0p02_mm,sigma_y_px,121.57938832700711,121.57938832700711,121.46065845559401,0.11872987141309466,6.530142927720206e-07,2.0,0.05936493570654733
production_searchsorted,lens_y_plus_0p02_mm,peak_intensity,5.164444486461264,5.164444486461264,5.164444486461264,0.0,0.0,0.2582222243230632,0.0
bilinear_intensity,lens_y_plus_0p02_mm,centroid_x_px,510.640686628091,497.9134139008183,497.9266820513057,-0.013268150487419916,-7.297482768080953e-08,1.0,0.013268150487419916
bilinear_intensity,lens_y_plus_0p02_mm,centroid_y_px,510.72189000737467,517.9946172801019,517.9882748804143,0.006342399687582656,3.488319828170461e-08,1.0,0.006342399687582656
bilinear_intensity,lens_y_plus_0p02_mm,sigma_x_px,121.42857339886795,121.42857339886795,121.30999080765812,0.1185825912098295,6.522042516540623e-07,2.0,0.05929129560491475
