episode_id,setup_id,setup_hash,arm,beam_width_quartile,boundary_status,direction,k,amplitude,width_ratio,strict_success,final_normalized_target_distance,control_steps,saturation_count,constraint_violation_count,all_diagnostic_decisions_correct,any_diagnostic_decision_wrong
v12_mpcdiag_reflsig_iid_20260801_00_0000__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_00_0000,64fd170b88574b8dada1a6043bfce2c20eb5cb11d5832ab2e9c0c2140364c03a,no_diagnosis,Q3,non_boundary,west,2.75,0.5,0.8,False,40.23905710218219,4,0,0,,
v12_mpcdiag_reflsig_iid_20260801_00_0000__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_00_0000,64fd170b88574b8dada1a6043bfce2c20eb5cb11d5832ab2e9c0c2140364c03a,oracle_diagnosis,Q3,non_boundary,west,2.75,0.5,0.8,True,0.9792989519634148,1,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_00_0000__secondary_reflection_width_relative__learned_image_diagnostic,v12_mpcdiag_reflsig_iid_20260801_00_0000,64fd170b88574b8dada1a6043bfce2c20eb5cb11d5832ab2e9c0c2140364c03a,learned_image_diagnostic,Q3,non_boundary,west,2.75,0.5,0.8,True,0.9792989519634148,1,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_00_0001__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_00_0001,bc6cc5fc1b2fa645a690bfe1a506bb0df7ebb74915a7779377967adec44217b5,no_diagnosis,Q3,non_boundary,north_east,2.25,0.4,0.8,False,26.789908579613893,4,0,0,,
v12_mpcdiag_reflsig_iid_20260801_00_0001__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_00_0001,bc6cc5fc1b2fa645a690bfe1a506bb0df7ebb74915a7779377967adec44217b5,oracle_diagnosis,Q3,non_boundary,north_east,2.25,0.4,0.8,True,0.4328555808129977,3,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_00_0001__secondary_reflection_width_relative__learned_image_diagnostic,v12_mpcdiag_reflsig_iid_20260801_00_0001,bc6cc5fc1b2fa645a690bfe1a506bb0df7ebb74915a7779377967adec44217b5,learned_image_diagnostic,Q3,non_boundary,north_east,2.25,0.4,0.8,True,0.4328555808129977,3,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_00_0002__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_00_0002,7ae83de5284f97653abc0ee39aa334d03c1fb15e6de3a5e2677efed743d91bde,no_diagnosis,Q3,non_boundary,north_west,2.25,0.5,0.8,False,24.742011611541557,4,0,0,,
v12_mpcdiag_reflsig_iid_20260801_00_0002__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_00_0002,7ae83de5284f97653abc0ee39aa334d03c1fb15e6de3a5e2677efed743d91bde,oracle_diagnosis,Q3,non_boundary,north_west,2.25,0.5,0.8,True,0.756842599829838,1,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_00_0002__secondary_reflection_width_relative__learned_image_diagnostic,v12_mpcdiag_reflsig_iid_20260801_00_0002,7ae83de5284f97653abc0ee39aa334d03c1fb15e6de3a5e2677efed743d91bde,learned_image_diagnostic,Q3,non_boundary,north_west,2.25,0.5,0.8,True,0.756842599829838,1,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_00_0003__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_00_0003,8b3a59b809eb4cb0fab09d5f44e1a49aa3d0f16b704c98bed98bfee230827613,no_diagnosis,Q1,non_boundary,north_west,2.75,0.4,1.0,False,3.288304794334863,2,0,0,,
v12_mpcdiag_reflsig_iid_20260801_00_0003__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_00_0003,8b3a59b809eb4cb0fab09d5f44e1a49aa3d0f16b704c98bed98bfee230827613,oracle_diagnosis,Q1,non_boundary,north_west,2.75,0.4,1.0,True,0.2777108686269685,1,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_00_0003__secondary_reflection_width_relative__learned_image_diagnostic,v12_mpcdiag_reflsig_iid_20260801_00_0003,8b3a59b809eb4cb0fab09d5f44e1a49aa3d0f16b704c98bed98bfee230827613,learned_image_diagnostic,Q1,non_boundary,north_west,2.75,0.4,1.0,False,3.288304794334863,2,0,0,False,True
v12_mpcdiag_reflsig_iid_20260801_00_0004__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_00_0004,309c11ac181ede9e35c1e8da10761642b2835cce2830389a3de4d76fefa4fdb1,no_diagnosis,Q4,non_boundary,south,2.25,0.4,1.0,False,81.5453574945767,4,0,0,,
v12_mpcdiag_reflsig_iid_20260801_00_0004__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_00_0004,309c11ac181ede9e35c1e8da10761642b2835cce2830389a3de4d76fefa4fdb1,oracle_diagnosis,Q4,non_boundary,south,2.25,0.4,1.0,True,0.5118882541906942,2,0,0,True,False
